logging to /Users/nadavminkowitz/neuron/neuron/results/activity2.tsv
one sample every 15s
recorded: app name, dwell, idle, notification COUNT, battery, audio, wifi
NOT recorded: window titles, URLs, keystrokes, clipboard, file names,
              screen contents, notification text

stop with Ctrl+C. Leave it running for a month.

  10600 samples, 12:01, Safari, idle 5s, notif 0
  10640 samples, 13:06, Messages, idle 0s, notif 0
  10680 samples, 15:51, Safari, idle 0s, notif 0
  10720 samples, 16:05, Safari, idle 12s, notif 0
  10760 samples, 16:17, Safari, idle 0s, notif 0
  10800 samples, 16:27, Safari, idle 67s, notif 0
  10840 samples, 16:42, Safari, idle 2s, notif 0
  10880 samples, 16:52, Safari, idle 115s, notif 0
  10920 samples, 17:21, Safari, idle 0s, notif 0
  10960 samples, 17:34, Safari, idle 17s, notif 0
  11000 samples, 17:44, Safari, idle 503s, notif 0
  11040 samples, 17:54, Safari, idle 1103s, notif 0
  11080 samples, 18:04, Safari, idle 1704s, notif 0
  11120 samples, 18:14, Safari, idle 2304s, notif 0
  11160 samples, 18:24, Safari, idle 2905s, notif 0
  11200 samples, 18:34, Safari, idle 346s, notif 0
  11240 samples, 18:44, Safari, idle 471s, notif 0
  11280 samples, 18:54, Safari, idle 1071s, notif 0
  11320 samples, 19:04, Safari, idle 1672s, notif 0
  11360 samples, 19:14, Safari, idle 2272s, notif 0
  11400 samples, 19:24, Safari, idle 2872s, notif 0
  11440 samples, 19:34, Safari, idle 3473s, notif 0
  11480 samples, 19:44, Safari, idle 4073s, notif 0
  11520 samples, 19:54, Safari, idle 4673s, notif 0
  11560 samples, 20:04, Safari, idle 5274s, notif 0
  11600 samples, 20:29, Safari, idle 5874s, notif 0
  11640 samples, 20:39, Safari, idle 6475s, notif 0
  11680 samples, 20:49, Safari, idle 7075s, notif 0
  11720 samples, 20:59, Safari, idle 7675s, notif 0
  11760 samples, 21:09, Safari, idle 8276s, notif 0
  11800 samples, 21:19, Safari, idle 8876s, notif 0
  11840 samples, 21:29, Safari, idle 9476s, notif 0
  11880 samples, 21:39, Safari, idle 10076s, notif 0
  11920 samples, 21:49, Safari, idle 10677s, notif 0
  11960 samples, 22:59, Safari, idle 11277s, notif 0
  12000 samples, 23:09, Safari, idle 11878s, notif 0
  12040 samples, 23:19, Safari, idle 12478s, notif 0
  12080 samples, 23:29, Safari, idle 13078s, notif 0
  12120 samples, 23:39, Safari, idle 13678s, notif 0
  12160 samples, 00:19, Safari, idle 14279s, notif 0
  12200 samples, 02:53, Code, idle 539s, notif 0
  12240 samples, 05:18, Code, idle 1140s, notif 0
  12280 samples, 08:17, Code, idle 1740s, notif 0
  12320 samples, 09:23, Safari, idle 0s, notif 0
  12360 samples, 09:33, Safari, idle 52s, notif 0
  12400 samples, 09:43, Safari, idle 15s, notif 0
  12440 samples, 09:53, Music, idle 0s, notif 0
  12480 samples, 10:03, Safari, idle 4s, notif 0
  12520 samples, 10:13, Safari, idle 0s, notif 0
  12560 samples, 10:23, Safari, idle 85s, notif 0
  12600 samples, 10:33, Safari, idle 24s, notif 0
  12640 samples, 10:44, Code, idle 48s, notif 0
  12680 samples, 10:54, Safari, idle 35s, notif 0
  12720 samples, 11:05, Safari, idle 74s, notif 0
  12760 samples, 11:19, Safari, idle 0s, notif 0
  12800 samples, 12:06, Safari, idle 70s, notif 0
  12840 samples, 15:46, Safari, idle 1s, notif 0
  12880 samples, 15:56, Safari, idle 0s, notif 0
  12920 samples, 16:06, Code, idle 4s, notif 0
  12960 samples, 16:16, Safari, idle 0s, notif 0
  13000 samples, 16:26, Code, idle 37s, notif 0
  13040 samples, 16:36, Safari, idle 28s, notif 0
  13080 samples, 16:46, Safari, idle 14s, notif 0
  13120 samples, 16:56, Music, idle 30s, notif 0
  13160 samples, 17:06, Safari, idle 4s, notif 0
  13200 samples, 17:16, Safari, idle 90s, notif 0
  13240 samples, 17:26, Safari, idle 230s, notif 0
  13280 samples, 17:36, Safari, idle 528s, notif 0
  13320 samples, 17:46, Safari, idle 0s, notif 0
  13360 samples, 17:56, Music, idle 7s, notif 0
  13400 samples, 18:06, Safari, idle 34s, notif 0
  13440 samples, 18:16, Safari, idle 634s, notif 0
  13480 samples, 18:26, Safari, idle 1235s, notif 0
  13520 samples, 18:36, Safari, idle 191s, notif 0
  13560 samples, 18:53, Safari, idle 10s, notif 0
  13600 samples, 19:03, Music, idle 0s, notif 0
  13640 samples, 19:13, Safari, idle 0s, notif 0
  13680 samples, 19:23, Safari, idle 46s, notif 0
  13720 samples, 21:48, Music, idle 102s, notif 0
  13760 samples, 02:15, Music, idle 703s, notif 0
  13800 samples, 07:42, Music, idle 0s, notif 0
  13840 samples, 08:52, Safari, idle 30s, notif 0
  13880 samples, 09:02, Safari, idle 0s, notif 0
  13920 samples, 09:12, zoom.us, idle 245s, notif 0
  13960 samples, 09:22, zoom.us, idle 17s, notif 0
  14000 samples, 09:32, zoom.us, idle 0s, notif 0
  14040 samples, 09:42, zoom.us, idle 0s, notif 0
  14080 samples, 09:52, zoom.us, idle 1s, notif 0
  14120 samples, 10:17, Safari, idle 47s, notif 0
  14160 samples, 11:13, Safari, idle 461s, notif 0
  14200 samples, 12:08, Safari, idle 1062s, notif 0
  14240 samples, 12:33, Safari, idle 1662s, notif 0
  14280 samples, 12:43, Safari, idle 2263s, notif 0
  14320 samples, 12:53, Safari, idle 2863s, notif 0
  14360 samples, 13:03, Safari, idle 3463s, notif 0
  14400 samples, 13:13, Safari, idle 4064s, notif 0
  14440 samples, 13:23, Safari, idle 4664s, notif 0
  14480 samples, 14:07, Safari, idle 5265s, notif 0
  14520 samples, 15:54, Safari, idle 5851s, notif 0
  14560 samples, 16:38, Safari, idle 1s, notif 0
  14600 samples, 16:48, Code, idle 7s, notif 0
  14640 samples, 16:58, Safari, idle 24s, notif 0
  14680 samples, 17:08, Safari, idle 0s, notif 0
  14720 samples, 17:18, Code, idle 30s, notif 0
  14760 samples, 17:28, Code, idle 33s, notif 0
  14800 samples, 17:38, Safari, idle 22s, notif 0
  14840 samples, 17:48, Safari, idle 1s, notif 0
  14880 samples, 17:58, Safari, idle 8s, notif 0
  14920 samples, 18:08, Code, idle 19s, notif 0
  14960 samples, 18:18, Safari, idle 19s, notif 0
  15000 samples, 18:28, Safari, idle 0s, notif 0
  15040 samples, 18:38, Safari, idle 1s, notif 0
  15080 samples, 18:48, Safari, idle 0s, notif 0
  15120 samples, 18:58, Safari, idle 15s, notif 0
  15160 samples, 19:08, Safari, idle 0s, notif 0
  15200 samples, 19:21, Safari, idle 73s, notif 0
  15240 samples, 19:33, Safari, idle 0s, notif 0
  15280 samples, 19:43, Safari, idle 60s, notif 0
  15320 samples, 19:53, Safari, idle 65s, notif 0
  15360 samples, 20:03, Safari, idle 31s, notif 0
  15400 samples, 20:13, Safari, idle 500s, notif 0
  15440 samples, 20:23, Safari, idle 1100s, notif 0
  15480 samples, 20:33, Safari, idle 1700s, notif 0
  15520 samples, 20:43, Safari, idle 2301s, notif 0
  15560 samples, 20:53, Safari, idle 2901s, notif 0
  15600 samples, 21:03, Safari, idle 135s, notif 0
  15640 samples, 21:13, Safari, idle 736s, notif 0
  15680 samples, 21:23, Safari, idle 1336s, notif 0
  15720 samples, 21:33, Safari, idle 13s, notif 0
  15760 samples, 21:43, Music, idle 1s, notif 0
  15800 samples, 21:53, Music, idle 19s, notif 0
  15840 samples, 22:03, Code, idle 79s, notif 0
  15880 samples, 22:13, Safari, idle 0s, notif 0
  15920 samples, 22:23, Safari, idle 64s, notif 0
  15960 samples, 22:33, Code, idle 0s, notif 0
  16000 samples, 22:43, Safari, idle 31s, notif 0
  16040 samples, 22:53, Safari, idle 0s, notif 0
  16080 samples, 23:03, Music, idle 0s, notif 0
  16120 samples, 23:59, Code, idle 97s, notif 0
  16160 samples, 04:36, Code, idle 683s, notif 0
  16200 samples, 08:02, Safari, idle 4s, notif 0
  16240 samples, 08:12, Safari, idle 0s, notif 0
  16280 samples, 08:22, Safari, idle 48s, notif 0
  16320 samples, 08:32, Code, idle 0s, notif 0
  16360 samples, 08:42, Safari, idle 0s, notif 0
  16400 samples, 09:43, Safari, idle 41s, notif 0
  16440 samples, 09:53, Terminal, idle 2s, notif 0
  16480 samples, 10:03, Safari, idle 1s, notif 0
  16520 samples, 10:34, Safari, idle 0s, notif 0
  16560 samples, 10:44, Microsoft OneNote, idle 1s, notif 0
  16600 samples, 10:54, Microsoft OneNote, idle 3s, notif 0
  16640 samples, 11:04, Microsoft OneNote, idle 0s, notif 0
  16680 samples, 11:14, Microsoft OneNote, idle 0s, notif 0
  16720 samples, 11:28, Safari, idle 0s, notif 0
  16760 samples, 11:38, Safari, idle 0s, notif 0
  16800 samples, 11:48, Safari, idle 20s, notif 0
  16840 samples, 11:58, Safari, idle 38s, notif 0
  16880 samples, 13:02, Safari, idle 0s, notif 0
  16920 samples, 13:12, Safari, idle 0s, notif 0
  16960 samples, 13:22, Safari, idle 0s, notif 0
  17000 samples, 13:32, Safari, idle 28s, notif 0
  17040 samples, 13:42, Safari, idle 0s, notif 0
  17080 samples, 13:58, Safari, idle 17s, notif 0
  17120 samples, 14:08, Safari, idle 5s, notif 0
  17160 samples, 14:18, Microsoft OneNote, idle 8s, notif 0
  17200 samples, 14:28, Safari, idle 0s, notif 0
  17240 samples, 14:42, Microsoft OneNote, idle 106s, notif 0
  17280 samples, 14:52, Safari, idle 81s, notif 0
  17320 samples, 15:11, Microsoft OneNote, idle 52s, notif 0
  17360 samples, 15:21, Microsoft OneNote, idle 77s, notif 0
  17400 samples, 18:18, Messages, idle 118s, notif 0
  17440 samples, 18:43, Safari, idle 0s, notif 0
  17480 samples, 18:53, Safari, idle 0s, notif 0
  17520 samples, 19:18, Safari, idle 0s, notif 0
  17560 samples, 20:56, Music, idle 224s, notif 0
  17600 samples, 22:15, Safari, idle 1s, notif 0
  17640 samples, 22:25, Safari, idle 0s, notif 0
  17680 samples, 02:25, Safari, idle 560s, notif 0
  17720 samples, 06:55, Safari, idle 1160s, notif 0
  17760 samples, 08:03, Safari, idle 0s, notif 0
  17800 samples, 08:13, Safari, idle 0s, notif 0
  17840 samples, 08:23, Safari, idle 0s, notif 0
  17880 samples, 08:33, Safari, idle 13s, notif 0
  17920 samples, 08:43, Safari, idle 0s, notif 0
  17960 samples, 09:43, Safari, idle 0s, notif 0
  18000 samples, 09:53, Safari, idle 0s, notif 0
  18040 samples, 10:03, Safari, idle 0s, notif 0
  18080 samples, 10:13, Messages, idle 16s, notif 0
  18120 samples, 10:30, Safari, idle 0s, notif 0
  18160 samples, 10:40, Safari, idle 45s, notif 0
  18200 samples, 10:50, Safari, idle 70s, notif 0
  18240 samples, 11:00, Microsoft OneNote, idle 4s, notif 0
  18280 samples, 11:10, Microsoft OneNote, idle 0s, notif 0
  18320 samples, 12:42, Safari, idle 247s, notif 0
  18360 samples, 13:06, Safari, idle 0s, notif 0
  18400 samples, 13:16, Safari, idle 0s, notif 0
  18440 samples, 13:26, Safari, idle 0s, notif 0
  18480 samples, 13:36, Safari, idle 8s, notif 0
  18520 samples, 13:51, Safari, idle 95s, notif 0
  18560 samples, 14:01, Microsoft OneNote, idle 1s, notif 0
  18600 samples, 14:11, Safari, idle 1s, notif 0
  18640 samples, 14:21, Safari, idle 22s, notif 0
  18680 samples, 14:31, Microsoft OneNote, idle 33s, notif 0
  18720 samples, 17:31, Microsoft OneNote, idle 379s, notif 0
  18760 samples, 18:10, Safari, idle 0s, notif 0
  18800 samples, 18:22, Safari, idle 0s, notif 0
  18840 samples, 18:32, Safari, idle 0s, notif 0
  18880 samples, 18:43, Safari, idle 108s, notif 0
  18920 samples, 19:11, Safari, idle 89s, notif 0
  18960 samples, 19:21, Safari, idle 9s, notif 0
  19000 samples, 19:31, Safari, idle 4s, notif 0
  19040 samples, 19:41, Safari, idle 1s, notif 0
  19080 samples, 19:51, Safari, idle 40s, notif 0
  19120 samples, 20:15, Safari, idle 0s, notif 0
  19160 samples, 20:25, Safari, idle 0s, notif 0
  19200 samples, 20:35, Microsoft OneNote, idle 31s, notif 0
  19240 samples, 20:45, Microsoft OneNote, idle 0s, notif 0
  19280 samples, 20:55, Microsoft OneNote, idle 10s, notif 0
